Dates,ABN NA Equity,ACA FP Equity,AIBG ID Equity,AZA SS Equity,BAMI IM Equity,BARC LN Equity,BBVA SQ Equity,BCP PL Equity,BCVN SE Equity,BG AV Equity,BGN IM Equity,BIRG ID Equity,BKT SQ Equity,BMPS IM Equity,BNP FP Equity,BPE IM Equity,BPSO IM Equity,CABK SQ Equity,CBK GY Equity,CMBN SE Equity,DANSKE DC Equity,DBK GY Equity,DNB NO Equity,EBS AV Equity,FBK IM Equity,GLE FP Equity,HSBA LN Equity,INGA NA Equity,INVP LN Equity,ISP IM Equity,JYSK DC Equity,KBC BB Equity,LLOY LN Equity,NDA FH Equity,NWG LN Equity,PEO PW Equity,PKO PW Equity,RBI AV Equity,RILBA DC Equity,SAB SQ Equity,SAN SQ Equity,SB1NO NO Equity,SEBA SS Equity,SHBA SS Equity,SPL PW Equity,STAN LN Equity,SWEDA SS Equity,SYDB DC Equity,UCG IM Equity
2/5/2020,11.8992,13.045,2.508,98.85,1.9605,172.96,4.927,0.1988,81.7,39.14,30.18,4.544,4.47759333,37.194045,49.61,2.93089906,2.018,2.8,5.52,114.0,115.3,8.264,163.65,33.63,11.185,30.29,569.0,10.294,331.1056725,2.4495,265.1,70.08,57.14,7.432,238.646264,99.0,35.66,21.55,516,0.832,3.635915402,97.8,96.46,97.76461435,307.4,640.8,150.2,150.3,12.832
2/6/2020,12.1057,13.315,2.52,98.8,2.044,176.72,5.1,0.1949,81.8,40.02,30.44,4.314,4.505532336,37.92334,50.41,2.962712514,2.07,2.876,5.707,114.4,117.3,9.33,174.7,34.99,11.32,30.6,573.5,10.49,329.8275625,2.4715,269.2,71.3,56.95,7.92,241.9847271,100.75,35.77,22.11,518,0.8456,3.67041539,98,98.9,102.7941511,310.6,638.8,152.95,153.6,13.878
2/7/2020,12.1419,13.44,2.5,98.5,2.095,177.16,5.227,0.1948,83.1,40.68,30.36,4.286,4.52170755,37.29823,51.83,2.934960352,2.052,2.911,5.813,115.8,117.7,9.53,174.7,35.29,11.74,30.55,581.3,10.57,326.2939643,2.476,269.2,70.96,56.92,8.028,240.0462646,101.75,35.95,22.18,512,0.845,3.698207047,99.05,99.06,105.0454676,315.0,636.8,153.95,152.6,13.906
2/10/2020,12.0876,13.395,2.364,99.6,2.08,176.9,5.242,0.188,82.9,40.7,31.1,3.93,4.520237076,36.110521,51.64,2.946467346,2.04,2.913,5.758,115.8,119.15,9.404,173.15,34.62,11.68,30.15,578.3,10.524,324.7151225,2.459,271.3,69.68,56.88,8.041,238.5385716,100.85,35.29,21.95,507,0.848,3.676644555,97,99.32,106.2429763,313.2,630.6,156.45,153.4,13.964
2/11/2020,12.2361,13.49,2.344,101,2.094,179.02,5.233,0.1915,83.3,41.24,31.6,3.86,4.530530394,37.29823,52.73,2.960004986,2.17,2.764,5.825,117.6,121.5,9.67,175.1,35.32,11.025,30.4,591.4,10.682,330.429026,2.4825,274.3,70.66,56.73,8.101,239.6154952,102.35,35.17,22.31,506,0.8398,3.70874871,97.75,100.35,107.0572823,310.0,642.8,157.5,156.2,14.174
2/12/2020,11.5223,13.54,2.376,103.4,2.171,179.34,5.329,0.19,83.1,42.3,32.1,4.176,4.604054094,38.027525,53.58,3.068982988,2.33,2.885,5.898,118.3,123.55,9.988,175.0,35.6,10.955,31.55,595.4,10.836,339.7517107,2.5075,276.2,72.1,57.44,8.154,245.5385749,103.65,36.5,22.4,511,0.857,3.790207015,97.95,99.64,106.6261791,307.0,641.4,157,157.1,14.122
2/13/2020,11.1564,13.65,2.35,106,2.208,176.32,5.298,0.1935,83.1,43.02,32.56,4.146,4.626111204,37.673296,53.57,3.08658192,2.392,2.868,6.425,118.0,122.3,10.188,174.85,35.35,10.925,31.665,589.9,10.772,339.9772595,2.51,272.7,73.16,58.03,8.128,246.2924214,102.95,35.86,22.46,509,0.8578,3.774873687,97.65,99.96,105.38077,306.2,634.2,156.85,157.0,14.028
2/14/2020,11.0042,13.49,2.398,104,2.182,175.92,5.243,0.1901,83.4,43.6,32.52,4.122,4.605524568,37.214882,53.68,3.04258459,2.362,2.807,6.61,118.8,121.55,10.186,175.25,35.44,10.92,31.73,584.5,10.71,337.5714054,2.5075,272.0,72.46,56.61,8.135,229.4924136,101.05,35.79,22.53,507,0.8526,3.760019526,98.25,100.3,104.9496669,305.4,635.2,156.95,157.8,13.886
2/17/2020,10.9933,13.635,2.39,104.4,2.3,177.7,5.228,0.192,84.2,44.16,32.86,4.126,4.643756892,37.527437,54.18,3.143440008,2.436,2.811,6.75,119.9,120.5,10.204,176.0,35.57,11.05,31.935,590.7,10.734,335.0151854,2.54,276.0,73.32,56.87,8.152,225.077027,101.6,35.55,22.52,504,0.862,3.788290349,99.05,101.35,104.8059658,306.4,635.2,156.5,159.0,14.15
2/18/2020,10.9643,13.35,2.3,104.2,2.41,175.08,5.168,0.1915,84.0,43.28,32.84,3.998,4.555528452,39.444441,53.67,2.802968362,2.688,2.73,6.722,119.6,118.9,9.98,175.55,35.2,10.84,31.78,551.9,10.422,331.8575019,2.6,279.6,72.04,55.88,8.016,222.8154875,101.6,35.15,22.33,496.5,0.8758,3.733665368,99.55,101.2,104.7580655,300.8,630.6,157.05,159.8,14.06
2/19/2020,10.9498,13.335,2.25,104.6,2.456,176.74,5.174,0.1918,84.1,43.92,33,4,4.58787888,43.96607,53.75,2.793492014,2.74,2.751,6.68,121.6,120.45,9.911,175.9,35.15,11.19,31.795,559.0,10.026,332.5341484,2.6035,280.3,71.1,55.78,8.104,221.8462562,101.95,35.13,22.35,502,0.889,3.753790361,99.8,104.3,107.5841861,301.8,626.2,160.9,160.7,14.132
2/20/2020,10.8701,13.155,2.27,109,2.45,181.32,5.104,0.1907,83.5,43.94,32.4,3.978,4.509943758,42.257436,53.26,2.838843108,2.58,2.7,6.75,121.3,122.25,9.866,177.0,34.78,11.09,31.22,559.7,10.052,332.3085996,2.55,284.0,70.14,56.55,8.135,223.6770263,102.35,34.8,22.05,503,0.8656,3.688623717,101.5,104.05,106.2908767,300.4,621.2,161.9,162.0,13.718
2/21/2020,10.7506,13.14,2.342,106.2,2.38,179.62,5.11,0.1899,83.4,44.22,31.8,3.97,4.505532336,42.50748,53.22,2.756263504,2.504,2.703,6.52,124.0,120.55,9.524,175.75,34.56,10.725,31.07,562.2,9.878,335.4662831,2.5215,279.6,69.68,55.35,8.109,219.8001014,100.85,34.41,21.65,500,0.8712,3.624415406,102.3,102.25,105.0454676,297.0,627.0,161.4,160.3,13.184
2/24/2020,10.3194,12.7,2.32,99.8,2.222,170.02,4.912,0.1801,82.6,42.12,29.62,3.764,4.371719202,37.756644,51.2,2.596519352,2.356,2.618,6.126,119.5,115.0,8.94,171.25,33.63,10.06,29.94,550.8,9.51,330.2034772,2.3765,271.5,66.88,53.11,7.873,212.9616368,96.56,33,21.45,484,0.8432,3.469644627,99.95,99.62,101.6445427,286.0,606.6,156.8,157.0,12.64
2/25/2020,10.1455,12.24,2.222,99.1,2.132,165.86,4.754,0.1733,82.8,41.28,28.94,3.6,4.302606924,38.777657,48.7,2.59922688,2.348,2.529,5.768,119.8,113.8,8.771,169.6,32.6,9.794,28.85,539.7,9.174,322.3092684,2.33,263.6,65.1,52.01,7.684,210.1077893,94.82,32.05,20.87,480.5,0.8054,3.362311331,97.2,97.96,99.20162485,275.0,584.4,153.3,153.2,12.412
2/26/2020,10.16,12.1,2.22,101,2.156,165.94,4.7415,0.1763,83.4,40.74,29.56,3.586,4.261433652,40.84052,48.215,2.65676185,2.406,2.519,5.748,119.5,113.0,8.86,169.0,32.96,9.95,28.56,555.0,9.176,327.1961596,2.381,250.0,65.36,51.91,7.622,207.900096,95.38,32.28,20.4,475,0.8276,3.397769652,95.5,98.04,99.96803045,275.0,591.6,153.55,145.0,12.552
2/27/2020,9.6454,11.355,2.066,97.8,2.065,154.44,4.547,0.1723,81.6,39.92,28.4,3.42,4.12467957,39.38193,45.385,2.557260196,2.262,2.43,5.446,114.6,107.05,8.294,161.65,31,9.826,26.72,529.3,8.831,316.8209137,2.2885,235.7,62.44,50.35,7.321,197.5077835,93.5,31.96,19.345,458,0.8016,3.277019694,91.45,94.5,95.94440105,265.0,570.6,148.75,127.8,12.002
2/28/2020,9.015,10.81,2.098,95.1,1.9825,148.74,4.3345,0.1625,77.6,39.1,27.86,3.356,3.92616558,38.027525,43.785,2.436098318,2.158,2.321,5.211,108.3,104.65,7.879,155.9,31.03,9.494,25.59,523.9,8.609,294.792312,2.1985,231.9,60.02,50.2,7.1,192.3923965,88.04,31.29,18.675,448,0.7912,3.188373891,89.5,91.44,92.42851536,250.8,562.6,144.75,125.0,11.538
3/2/2020,8.986,10.47,2.004,96.2,1.858,143.3,4.286,0.1596,82.1,39.56,27.2,3.28,3.871758042,36.131358,43.455,2.30478321,2.038,2.328,5,111.3,105.15,7.567,158.5,30.38,9.13,25.02,520.1,8.429,289.9054208,2.1365,233.7,59.98,49.54,7.184,185.7693165,89.26,32.35,18.335,454,0.7792,3.119373915,91.55,92.46,93.3098818,260.0,550.4,147.15,126.2,11.03
3/3/2020,8.6961,10.225,1.959,98.2,1.705,139.56,4.249,0.1593,81.6,39.82,27.28,3.196,3.862935198,34.089332,42.81,2.25063265,1.96,2.415,4.9085,113.1,106.85,7.341,162.35,29.44,9.334,24.23,509.8,8.341,292.4616408,2.119,231.7,60.88,48.675,7.2,183.5616232,94.78,33.1,18.44,458,0.7732,3.100686422,93.25,92.38,93.23324124,272.2,538.2,147.85,128.5,10.562
3/4/2020,8.7939,10.125,1.963,97.9,1.631,138.54,4.3265,0.1572,82.1,38.38,26.4,3.21,3.751179174,33.318363,42.25,2.192420798,1.942,2.334,4.835,113.6,107.05,7.266,157.6,29.19,8.85,24.18,512.2,8.194,295.0178608,2.1275,225.4,61,48.365,7.179,181.1923913,94.14,32.56,18.45,454,0.7502,3.158186402,90.95,92.44,94.24872866,274.0,558.4,151.3,124.6,10.294
3/5/2020,8.4425,9.66,1.9,97.6,1.562,134.68,4.1235,0.1492,81.0,38.16,25.36,3.15,3.693830688,30.83876,40.515,2.112548722,1.821,2.24,4.633,111.9,104.65,7.043,150.95,27.72,8.872,22.785,506.4,7.9,285.1688955,2.0465,222.0,61,47.0,7.136,173.1693107,92.9,31.64,17.73,447,0.7108,2.997186458,87.55,91.36,94.09544754,266.8,532.2,150.7,122.6,10.134
3/6/2020,8.1164,9.298,1.812,97.6,1.51,130.94,4.032,0.1416,79.6,36.74,24.76,3.08,3.62471841,29.79691,38.515,2.06787451,1.754,2.183,4.3005,108.2,101.95,6.776,139.95,26.72,8.974,21.4,493.8,7.545,271.4856002,1.9772,217.3,58.62,45.68,6.845,169.346232,89.68,30.62,16.95,439,0.6962,2.917644819,83.15,88.58,91.85371116,252.2,519.6,145,120.2,9.952
3/9/2020,6.9047,7.73,1.556,92.1,1.2935,118.1,3.4995,0.1201,75.3,32.4,22.6,2.596,3.247541829,26.25462,33.785,1.78696848,1.643,2.0,3.6365,101.0,90.38,5.854,122.35,24.45,8.118,17.622,470.0,6.47,246.1489491,1.75,205.6,53.98,41.235,6.1,151.7385316,82.3,27.72,15.6,409.5,0.5862,2.56833244,73.3,81.04,88.3282454,228.0,456.3,132.6,112.0,8.614
3/10/2020,6.8801,7.708,1.586,91.4,1.2295,116.84,3.4515,0.125,76.1,31.96,21.16,2.664,3.275480835,24.608497,34.63,1.700327584,1.588,1.9895,3.7525,99.7,88.74,5.882,126.3,24.64,7.536,18.146,478.5,6.416,249.9080961,1.7088,203.1,55.08,42.535,6.009,152.7077628,80.26,27.92,15.715,403.5,0.5442,2.541499116,74.2,79.78,86.6996335,221.4,473.2,131.95,109.8,8.314
3/11/2020,6.8902,7.896,1.597,91.4,1.3235,117.94,3.542,0.1246,76.7,31.16,21.04,2.738,3.399000651,25.608673,35.66,1.704388876,1.568,2.075,3.962,99.05,85.52,5.972,120.9,24.26,7.876,18.762,485.5,6.401,247.502242,1.7792,205.7,55.64,42.12,5.93,152.4923781,75.24,26.63,15.51,393.5,0.5532,2.626311587,68.5,79.04,85.4542244,208.6,471.9,133.7,108.2,8.54
3/12/2020,5.4264,6.594,1.457,79,1.1025,97.52,3.008,0.1131,73.1,25.56,18.14,2.314,2.863748115,20.857837,31,1.401822622,1.271,1.753,3.1215,90.0,77.76,4.871,108.9,21.3,6.918,15.546,444.6,5.161,223.8947985,1.4628,190.1,44.99,36.995,5.104,135.3692932,60.5,23.18,13.53,355,0.4554,2.183561741,56.5,68.06,75.16522922,172.1,418.2,115,96.25,7.066
3/13/2020,5.4728,6.862,1.446,78.6,1.2685,102.38,3.0445,0.1123,74.4,27.28,19.57,2.318,2.836544346,23.504136,31.73,1.71589587,1.318,1.806,3.2395,90.8,77.8,5.105,112.85,21.91,7.704,17.148,465.85,5.164,228.330592,1.5544,185.0,45.56,37.89,5.014,140.7539111,63.68,23.5,13.41,358.5,0.5076,2.163436748,60,68.24,75.85499426,186.5,436.9,119.35,97.9,7.713
3/16/2020,5.18,6.078,1.274,72.3,1.168,89.06,2.6375,0.1015,71.5,24.36,17.6,2.1,2.46304395,21.04537,27.44,1.584580762,1.217,1.6,3.003,80.55,74.04,4.906,104.35,19.2,7.606,14.52,464.4,4.67,174.881111,1.4028,172.4,38.2,35.11,4.6345,136.1769859,55.76,21.5,12.29,340,0.441,1.933915994,55.5,63.12,71.52480262,168.2,442.0,112.95,92.3,6.743
3/17/2020,5.5583,6.522,1.232,74.1,1.2485,87.76,2.82,0.105,72.5,22.22,17.3,2.044,2.434369707,22.08722,29.2,1.579165706,1.252,1.677,3.15,80.15,74.2,5.147,98.66,18.2,7.39,15.658,494.65,4.66,175.9591773,1.4514,174.3,37.99,35.32,4.71,141.8846809,55.94,22.1,12.35,336,0.4726,2.084374275,52,67.28,76.46811874,195.6,456.5,124.5,93.85,7.01
3/18/2020,5.193,6.242,1.01,71.1,1.249,83.2,2.7085,0.1008,69.2,20.34,16.86,1.842,2.238061428,21.399599,26.4,1.537199022,1.275,1.654,3.1045,75.05,72.8,5.144,100.5,16.225,7.524,14.16,491.0,4.3005,150.0387125,1.4086,169.65,40.7,33.635,4.6385,137.5769866,52.74,21,11.25,318,0.4234,1.95499932,48.72,64.5,73.4791369,190.6,453.0,122.8,90.55,7.0
3/19/2020,5.2017,6.22,0.768,73.1,1.265,83.74,2.8035,0.1004,69.2,22.62,17.36,1.738,2.516716251,21.378762,27.185,1.560889892,1.349,1.782,3.328,81.9,72.9,5.471,108.3,16.375,7.478,13.8,500.0,4.47,130.0710488,1.4252,169.2,42.9,32.375,4.9185,131.6539069,53.0,21.89,11.61,318.5,0.4261,1.957874319,51.45,65.94,78.44161316,210.0,451.2,126.2,91.4,7.37
3/20/2020,5.3858,6.828,0.7955,75.1,1.253,89.02,2.886,0.103,71.6,25.64,16.95,1.777,2.63214846,20.795326,27.44,1.74297115,1.382,1.6845,3.269,79.3,75.0,5.525,108.3,17.5,7.464,14.666,500.0,4.967,129.9773039,1.4654,168.0,47.27,32.1,4.913,122.5539027,56.8,23.06,12.975,333,0.4185,2.021124297,55,64.82,76.1615565,204.0,446.5,120.65,90.2,7.934
3/23/2020,5.5162,6.548,0.8,71.7,1.2425,84.7,2.7845,0.1006,69.7,26.76,17.17,1.65,2.511569592,21.420436,25.425,1.987325552,1.312,1.604,3.171,78.8,68.04,5.511,101.5,17.905,7.478,13.782,490.0,4.835,120.7434312,1.4488,152.7,44.94,30.57,4.55,121.8000562,53.1,21.45,12.805,322.5,0.4207,2.026874295,50,62.08,72.31036836,179.4,421.1,112.1,83.55,7.605
3/24/2020,6.3467,7.052,0.997,75,1.323,96.02,3.091,0.1076,73.5,29.74,18.52,1.764,2.543184783,22.691493,27.78,2.036737938,1.419,1.704,3.5185,85.4,70.06,6.191,107.05,20.16,8.22,15.526,515.0,5.826,131.758457,1.5836,157.5,47.61,33.645,4.85,129.5000598,54.5,22.31,14.16,339,0.4766,2.270290877,55.45,64.7,75.03110824,175.2,450.6,113.4,87.05,8.365
3/25/2020,6.4206,7.438,1.112,77.6,1.3035,105.78,3.2635,0.109,74.6,27.14,18.67,1.96,2.543184783,23.33744,30,2.004924484,1.429,1.7945,3.7095,86.4,73.98,6.433,109.0,19.265,8.096,17.302,509.9,5.983,153.3666564,1.6162,164.65,46.75,36.73,5.109,147.2692987,55.2,21.84,14.21,344,0.512,2.369957509,56.8,69.6,81.87127822,175.9,473.4,113.95,92.2,8.433
3/26/2020,6.1844,7.456,1.207,78.2,1.322,107.98,3.2795,0.1099,80.1,27.5,19.42,2.088,2.515981014,24.17092,30.98,1.965665328,1.414,1.869,3.81,91.45,75.36,6.338,114.0,19.665,8.838,17.678,497.9,5.996,159.5069474,1.631,165.3,48.51,37.56,5.166,142.6923736,57.0,23.46,14.96,356.5,0.514,2.356061681,58.05,69.16,82.44608242,177.7,481.0,114.7,91.7,8.303
3/27/2020,5.9061,7.006,1.117,80,1.2575,97.37,3.1045,0.1055,77.3,26,18.75,1.951,2.368933614,23.024885,29.875,1.839088394,1.35,1.759,3.585,87.1,74.04,5.897,109.6,18.335,8.268,16.258,466.55,5.479,149.8043502,1.5666,165.75,44.5,34.395,5.049,129.3923674,55.32,22.75,14.365,366,0.4841,2.216145063,59.95,66.04,79.45710058,173.9,466.7,110.55,91.6,7.86
3/30/2020,5.3191,6.698,1.011,80.9,1.2125,94,2.92,0.1052,79.2,24.66,18.67,1.793,2.316731787,22.962374,28.25,1.838411512,1.324,1.6715,3.338,87.6,73.4,5.824,112.85,17.07,8.422,15.436,462.65,4.9925,134.992656,1.4708,164.35,40.37,33.5,4.918,126.4308276,56.0,22.51,13.745,375.5,0.4559,2.122228429,59.3,66.08,76.37231804,174.1,455.5,107.9,92.6,7.274
3/31/2020,5.4235,6.69,1.022,82.8,1.2,94.11,2.9155,0.1025,79.4,25.58,19.12,1.724,2.458632528,23.608321,27.51,1.8952696,1.379,1.7,3.3085,89.2,76.9,5.969,116.75,16.885,8.29,15.348,454.25,4.7815,142.3985031,1.4884,169.4,42.02,32.0,5.133,121.5846715,56.14,22.62,13.375,382,0.469,2.125582594,59.2,67.18,79.64870198,173.5,445.8,110.85,96.1,7.147
